"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 06, 2019","14.857","14.793","14.988","14.732","-","0.43%"
"Jun 05, 2019","14.793","14.812","15.037","14.758","-","-0.09%"
"Jun 04, 2019","14.807","14.768","14.848","14.648","-","0.26%"
"Jun 03, 2019","14.768","14.602","14.822","14.568","-","1.14%"
"Jun 02, 2019","14.602","14.555","14.602","14.555","-","0.32%"
"May 31, 2019","14.555","14.510","14.668","14.457","-","0.32%"
"May 30, 2019","14.508","14.383","14.553","14.342","-","0.95%"
"May 29, 2019","14.372","14.372","14.372","14.372","0.00K","0.64%"
"May 28, 2019","14.281","14.300","14.310","14.245","0.07K","-2.00%"
"May 27, 2019","14.572","14.553","14.607","14.537","-","0.10%"
"May 26, 2019","14.557","14.545","14.562","14.545","-","0.25%"
"May 24, 2019","14.520","14.550","14.550","14.525","0.02K","-0.39%"
"May 23, 2019","14.577","14.545","14.545","14.540","0.00K","1.13%"
"May 22, 2019","14.414","14.400","14.425","14.390","0.11K","0.29%"
"May 21, 2019","14.373","14.405","14.405","14.325","0.05K","-0.25%"
"May 20, 2019","14.409","14.365","14.420","14.340","0.01K","-0.13%"
"May 19, 2019","14.428","14.390","14.428","14.390","-","0.56%"
"May 17, 2019","14.348","14.485","14.580","14.345","0.16K","-0.90%"
"May 16, 2019","14.479","14.755","14.755","14.440","0.24K","-1.85%"
"May 15, 2019","14.752","14.755","14.765","14.755","0.00K","0.00%"
"May 14, 2019","14.752","14.710","14.710","14.710","0.00K","0.27%"
"May 13, 2019","14.713","14.720","14.720","14.585","0.03K","-0.30%"
"May 12, 2019","14.758","14.780","14.793","14.758","-","0.22%"
"May 10, 2019","14.726","14.720","14.730","14.690","0.02K","0.13%"
"May 09, 2019","14.707","14.705","14.720","14.700","0.02K","-0.57%"
"May 08, 2019","14.792","14.890","14.895","14.785","0.09K","-0.46%"
"May 07, 2019","14.860","14.850","14.865","14.770","0.15K","0.02%"
"May 06, 2019","14.857","14.870","14.920","14.725","0.08K","-0.59%"
"May 05, 2019","14.945","14.953","14.988","14.932","-","0.25%"
"May 03, 2019","14.907","14.560","14.900","14.560","0.24K","2.52%"
"May 02, 2019","14.540","14.600","14.625","14.525","0.80K","-0.72%"
